"Date","Price","Open","High","Low","Vol.","Change %"
"01/11/2021","123,255","125,075","125,075","122,506","9.54M","-1.46%"
"01/08/2021","125,077","122,387","125,324","122,386","11.09M","2.20%"
"01/07/2021","122,386","119,103","122,697","119,101","11.77M","2.76%"
"01/06/2021","119,100","119,377","120,924","118,917","11.64M","-0.23%"
"01/05/2021","119,376","118,835","119,790","116,756","9.26M","0.44%"
"01/04/2021","118,855","119,024","120,354","118,062","8.74M","-0.14%"
"12/30/2020","119,017","119,410","120,150","118,919","8.24M","-0.33%"
"12/29/2020","119,409","119,130","119,861","118,750","6.77M","0.24%"
"12/28/2020","119,124","117,806","119,213","117,805","7.17M","1.12%"
"12/23/2020","117,807","116,636","118,311","116,636","6.48M","1.00%"
"12/22/2020","116,636","115,825","116,903","115,648","6.95M","0.70%"
"12/21/2020","115,823","118,021","118,021","114,730","10.35M","-1.86%"
"12/18/2020","118,024","118,395","119,370","117,638","8.64M","-0.32%"
"12/17/2020","118,401","117,864","119,027","117,856","7.70M","0.46%"
"12/16/2020","117,857","116,149","118,178","115,496","9.81M","1.47%"
"12/15/2020","116,149","114,613","116,390","114,613","8.20M","1.34%"
"12/14/2020","114,611","115,137","115,740","114,431","8.19M","-0.45%"
"12/11/2020","115,128","115,128","115,527","113,949","8.37M","0.00%"
"12/10/2020","115,129","113,002","115,262","112,732","11.80M","1.88%"
"12/09/2020","113,001","113,799","114,020","112,567","8.43M","-0.70%"
"12/08/2020","113,793","113,590","114,381","112,820","8.81M","0.18%"
"12/07/2020","113,590","113,750","114,531","112,629","9.63M","-0.14%"
"12/04/2020","113,750","112,294","113,864","112,294","8.89M","1.30%"
"12/03/2020","112,292","111,874","113,377","111,874","11.47M","0.37%"
"12/02/2020","111,879","111,402","112,315","110,579","9.81M","0.43%"
"12/01/2020","111,400","108,897","111,840","108,897","11.32M","2.30%"
"11/30/2020","108,893","110,598","110,934","108,829","19.30M","-1.52%"
"11/27/2020","110,575","110,229","111,603","110,161","8.79M","0.32%"
"11/26/2020","110,227","110,133","110,244","109,418","6.17M","0.09%"
"11/25/2020","110,133","109,786","110,596","109,315","8.56M","0.32%"
"11/24/2020","109,786","107,378","109,956","107,361","11.93M","2.24%"
"11/23/2020","107,379","106,050","107,495","106,050","9.69M","1.26%"
"11/20/2020","106,042","106,670","106,764","105,680","7.10M","-0.59%"
"11/19/2020","106,670","106,117","106,973","105,545","8.56M","0.52%"
"11/18/2020","106,119","107,246","107,467","106,043","10.34M","-1.05%"
"11/17/2020","107,249","106,430","107,810","105,847","10.31M","0.77%"
"11/16/2020","106,430","104,729","106,518","104,729","11.72M","1.63%"
"11/13/2020","104,723","102,509","104,726","102,509","9.77M","2.16%"
"11/12/2020","102,507","104,810","105,019","102,034","10.86M","-2.20%"
"11/11/2020","104,809","105,067","105,462","104,143","10.84M","-0.25%"
"11/10/2020","105,067","103,516","105,758","103,453","16.67M","1.50%"
"11/09/2020","103,515","100,954","105,147","100,954","17.41M","2.57%"
"11/06/2020","100,925","100,751","101,104","99,837","8.38M","0.17%"
"11/05/2020","100,751","97,873","100,922","97,872","10.46M","2.95%"
"11/04/2020","97,867","95,992","98,296","95,987","10.70M","1.97%"
"11/03/2020","95,980","93,968","96,350","93,968","10.19M","2.16%"
"10/30/2020","93,952","96,579","96,579","93,559","10.64M","-2.72%"
"10/29/2020","96,582","95,368","96,688","93,387","12.70M","1.27%"
"10/28/2020","95,369","99,598","99,598","95,369","11.05M","-4.25%"
"10/27/2020","99,606","101,017","101,660","99,414","8.67M","-1.40%"
"10/26/2020","101,017","101,260","101,784","99,762","8.07M","-0.24%"
"10/23/2020","101,260","101,918","102,218","101,188","7.56M","-0.65%"
"10/22/2020","101,918","100,553","102,020","100,457","9.56M","1.36%"
"10/21/2020","100,552","100,541","101,586","100,149","8.66M","0.01%"
"10/20/2020","100,540","98,664","100,722","98,664","8.80M","1.91%"
"10/19/2020","98,658","98,310","99,917","98,310","9.93M","0.36%"
"10/16/2020","98,309","99,054","99,172","98,309","7.84M","-0.75%"
"10/15/2020","99,054","99,328","99,486","97,778","8.34M","-0.28%"
"10/14/2020","99,334","98,502","99,571","98,501","8.90M","0.84%"
"10/13/2020","98,503","97,483","98,998","97,336","7.87M","1.05%"
"10/09/2020","97,483","97,924","98,642","97,161","10.81M","-0.45%"
"10/08/2020","97,920","95,530","97,938","95,530","11.16M","2.51%"
"10/07/2020","95,526","95,616","96,380","94,881","9.83M","-0.09%"
"10/06/2020","95,615","96,091","97,405","95,211","11.30M","-0.49%"
"10/05/2020","96,089","94,019","96,414","93,984","8.62M","2.20%"
"10/02/2020","94,016","95,475","95,996","93,897","8.58M","-1.53%"
"10/01/2020","95,479","94,604","95,486","93,599","9.24M","0.93%"
